iter	Passed	Remaining
0	232	18382
1	386	15071
2	538	13812
3	724	13772
4	923	13845
5	1149	14174
6	1396	14562
7	1639	14756
8	1809	14271
9	1955	13686
10	2106	13212
11	2241	12702
12	2394	12338
13	2592	12221
14	2720	11788
15	2863	11453
16	3024	11208
17	3163	10895
18	3301	10597
19	3424	10273
20	3628	10194
21	3807	10038
22	4010	9939
23	4176	9745
24	4330	9527
25	4520	9388
26	4706	9238
27	4882	9068
28	5065	8908
29	5230	8718
30	5410	8552
31	5636	8455
32	5811	8276
33	6006	8126
34	6181	7948
35	6353	7765
36	6542	7603
37	6723	7430
38	6904	7258
39	7087	7087
40	7269	6915
41	7454	6744
42	7718	6641
43	8013	6556
44	8262	6426
45	8438	6237
46	8665	6084
47	8887	5924
48	9127	5774
49	9313	5587
50	9546	5428
51	9822	5289
52	10106	5148
53	10333	4975
54	10617	4826
55	10872	4659
56	11126	4489
57	11312	4291
58	11528	4103
59	11788	3929
60	12044	3751
61	12333	3580
62	12570	3392
63	12790	3197
64	12985	2996
65	13180	2795
66	13354	2591
67	13523	2386
68	13750	2192
69	13917	1988
70	14144	1793
71	14382	1598
72	14565	1396
73	14827	1202
74	15117	1007
75	15387	809
76	15573	606
77	15796	405
78	15976	202
79	16149	0
