iter	Passed	Remaining
0	32	6484
1	70	7017
2	115	7574
3	164	8054
4	202	7904
5	230	7460
6	284	7853
7	310	7444
8	355	7553
9	391	7432
10	418	7186
11	461	7235
12	493	7102
13	523	6953
14	571	7047
15	609	7011
16	658	7092
17	713	7212
18	769	7329
19	821	7397
20	868	7405
21	909	7358
22	956	7364
23	975	7153
24	991	6941
25	1032	6913
26	1089	6980
27	1137	6988
28	1189	7014
29	1232	6985
30	1264	6893
31	1288	6764
32	1324	6703
33	1382	6749
34	1403	6618
35	1438	6553
36	1480	6523
37	1534	6543
38	1579	6519
39	1615	6462
40	1657	6427
41	1701	6399
42	1751	6393
43	1790	6347
44	1842	6345
45	1866	6247
46	1908	6213
47	1947	6167
48	1997	6154
49	2044	6132
50	2088	6102
51	2154	6131
52	2202	6107
53	2256	6101
54	2306	6080
55	2364	6081
56	2418	6066
57	2477	6064
58	2521	6025
59	2561	5976
60	2609	5946
61	2648	5895
62	2691	5852
63	2730	5803
64	2788	5791
65	2827	5740
66	2861	5681
67	2909	5647
68	2957	5614
69	3001	5574
70	3057	5554
71	3108	5525
72	3148	5477
73	3194	5439
74	3235	5391
75	3279	5351
76	3314	5293
77	3367	5267
78	3391	5193
79	3456	5184
80	3503	5147
81	3542	5097
82	3582	5049
83	3628	5010
84	3669	4964
85	3707	4914
86	3748	4868
87	3797	4833
88	3854	4807
89	3897	4763
90	3927	4704
91	3974	4666
