iter	Logloss
0	0.3972443206
1	0.2946041196
2	0.2474020852
3	0.2216281428
4	0.2031323861
5	0.1923782142
6	0.1861193169
7	0.181843658
8	0.1797646302
9	0.1792918848
10	0.1778418011
11	0.1775934162
12	0.1761515956
13	0.1756587192
14	0.1751985238
15	0.1749357943
16	0.1745810321
17	0.1742712415
18	0.173714886
19	0.1732816585
20	0.1729747667
21	0.1727643469
22	0.1724513109
23	0.172335057
24	0.1719910497
25	0.1714994586
26	0.1707170338
27	0.1703220212
28	0.1700204406
29	0.1697028952
30	0.1693508682
31	0.1689905846
32	0.1687821532
33	0.1686034538
34	0.1685497985
35	0.1683918134
36	0.1681791794
37	0.1678773788
38	0.1677126967
39	0.1674769202
40	0.1672790482
41	0.1670677121
42	0.16679157
43	0.1665585014
44	0.166342192
45	0.1660555681
46	0.1657871733
47	0.1657205371
48	0.1655290885
49	0.165436602
