iter	Passed	Remaining
0	9	481
1	13	315
2	20	322
3	30	346
4	42	379
5	48	355
6	54	337
7	62	326
8	69	318
9	75	302
10	81	288
11	87	276
12	93	266
13	100	257
14	108	253
15	114	243
16	121	234
17	129	229
18	135	220
19	141	211
20	146	202
21	153	195
22	158	186
23	165	178
24	171	171
25	177	163
26	183	156
27	189	149
28	196	142
29	203	135
30	211	129
31	219	123
32	229	118
33	236	111
34	243	104
35	249	96
36	256	90
37	264	83
38	270	76
39	277	69
40	284	62
41	293	55
42	302	49
43	310	42
44	320	35
45	330	28
46	339	21
47	348	14
48	355	7
49	361	0
